id,term,part_of_speech,definition,quizzed,correct
325,SPINDRIFT,Noun,spray blown up from the surface of the sea,0,0
326,MERE,Noun,a small pond of standing water,0,0
327,DHARMA,Noun,basic principles of the cosmos. also: an ancient sage in hindu mythology worshipped as a god by some lower castes,0,0
328,CAPTIOUS,Adjective,tending to find and call attention to faults,0,0
329,MIMETIC,Adjective,"characterized by or of the nature of or using mimesis, exhibiting mimicry",0,0
330,CATAFALQUE,Noun,a decorated bier on which a coffin rests in state during a funeral,0,0
331,LOTH,Adjective,"unwillingness to do something contrary to your custom, ""(usually followed by `to')",0,0
332,HOYDEN,Noun,a girl who behaves in a boyish manner,0,0
333,LEGATEE,Noun,someone to whom a legacy is bequeathed,0,0
334,FULSOME,Adjective,unpleasantly and excessively suave or ingratiating in manner or speech,0,0
335,LIGHTSOME,Adjective,"moving easily and quickly. nimble, carefree and happy and lighthearted",0,0
336,SABBATARIAN,Noun,one who observes saturday as the sabbath (as in judaism),0,0
337,SABBATARIAN,Adjective,pertaining to the sabbath and its observance,0,0
338,BOSKY,Adjective,covered with or consisting of bushes or thickets,0,0
339,CAMPANILE,Noun,a bell tower. usually stands alone unattached to a building,0,0
340,DEBILITY,Noun,the state of being weak in health or body (especially from old age),0,0
341,FOOLSCAP,Noun,a size of paper used especially in britain,0,0
342,PATERNOSTER,Noun,"(in the roman catholic church), the Lord's Prayer, especially in Latin, an elevator consisting of a series of linked doorless compartments moving continuously on an endless belt.",0,0
343,FESTSCHRIFT,Noun,a collection of writings published in honor of a scholar,1,1
344,NYMPHOLEPT,Noun,a person seized by nympholepsy,0,0
345,CROTCHET,Noun,"a sharp curve or crook. a shape resembling a hook, a musical note having the time value of a quarter of a whole note, a strange attitude or habit, a small tool or hooklike implement",0,0
346,CLERESTORY,Noun,part of an interior wall rising above the adjacent roof with windows admitting light,0,0
347,TUP,Noun,uncastrated adult male sheep,0,0
348,RECTITUDE,Noun,righteousness as a consequence of being honorable and honest,0,0
349,DOCKER,Noun,a laborer who loads and unloads vessels in a port,0,0
350,ANALOGICAL,Adjective,"expressing, composed of, or based on an analogy",0,0
351,SERAGLIO,Noun,living quarters reserved for wives and concubines and female relatives in a muslim household,0,0
352,ESPIAL,Noun,the act of detecting something. catching sight of something,0,0
353,DISSEMBLE,Verb,"make believe with the intent to deceive, hide under a false appearance, behave unnaturally or affectedly",0,0
354,DEMESNE,Noun,"extensive landed property (especially in the country, territory over which rule or control is exercised",0,0
355,ENURESIS,Noun,inability to control the flow of urine and involuntary urination,0,0
356,DECOROUS,Adjective,"characterized by propriety and dignity and good taste in manners and conduct, according with custom or propriety",0,0
357,ANIMADVERSION,Noun,harsh criticism or disapproval,0,0
358,SUPERCILIOUS,Adjective,"having or showing arrogant superiority to and disdain of those one views as unworthy, expressive of contempt",0,0
359,QUATERNION,Noun,the cardinal number that is the sum of three and one,0,0
360,PRISE,Verb,"to move or force, especially in an effort to get something open, make an uninvited or presumptuous inquiry, regard highly. think much of",0,0
361,COLLEEN,Noun,an irish girl,0,0
362,ERSATZ,Noun,an artificial or inferior substitute or imitation,0,0
363,ERSATZ,Adjective,artificial and inferior,0,0
364,FLIBBERTIGIBBET,Noun,a female fool,0,0
365,AMANUENSIS,Noun,someone skilled in the transcription of speech (especially dictation),0,0
366,KOHL,Noun,a cosmetic preparation used by women in egypt and arabia to darken the edges of their eyelids,1,1
367,SALUKI,Noun,old breed of tall swift keen-eyed hunting dogs resembling greyhounds. from egypt and southwestern asia,0,0
368,NOETIC,Adjective,of or associated with or requiring the use of the mind,0,0
369,BESTRIDE,Verb,get up on the back of,0,0
370,ABRUPTION,Noun,an instance of sudden interruption,0,0
371,CONURBATION,Noun,an aggregation or continuous network of urban communities,0,0
372,AMPHORA,Noun,an ancient jar with two handles and a narrow neck. used to hold oil or wine,0,0
373,TUBEROSE,Noun,a tuberous mexican herb having grasslike leaves and cultivated for its spikes of highly fragrant lily-like waxy white flowers,0,0
374,BENISON,Noun,a spoken blessing,0,0
375,CENSORIOUS,Adjective,harshly critical or expressing censure,0,0
376,ASPERSE,Verb,charge falsely or with malicious intent. attack the good name and reputation of someone,0,0
377,BAGATELLE,Noun,"a light piece of music for piano, something of little value or significance, a table game in which short cues are used to knock balls into holes that are guarded by wooden pegs. penalties are incurred if the pegs are knocked over",0,0
378,CYNOSURE,Noun,"something that provides guidance (as polaris guides mariners, something that strongly attracts attention and admiration",0,0
379,CRAPULOUS,Adjective,"suffering from excessive eating or drinking, given to gross intemperance in eating or drinking",0,0
380,EMPURPLE,Verb,color purple,0,0
381,GAVAGE,Noun,feeding that consists of the delivery of a nutrient solution (as through a nasal tube),0,0
382,EIDETIC,Adjective,of visual imagery of almost photographic accuracy,0,0
383,NUMINOUS,Adjective,"evincing the presence of a deity, of or relating to or characteristic of a numen",0,0
384,PERSPICACIOUS,Adjective,"acutely insightful and wise, mentally acute or penetratingly discerning",0,0
385,ERSTWHILE,Adjective,belonging to some prior time,0,0
386,ERSTWHILE,Adverb,at a previous time,0,0
387,OVERSIZED,Adjective,larger than normal for its kind,0,0
388,GOLLIWOG,Noun,a grotesque black doll,0,0
389,EVANESCE,Verb,disappear gradually,0,0
390,TRICORNE,Noun,cocked hat with the brim turned up to form three points,0,0
391,PERSPICACITY,Noun,"intelligence manifested by being astute (as in business dealings, the capacity to assess situations or circumstances shrewdly and to draw sound conclusions)",0,0
392,ANAPHRODISIAC,Adjective,tending to diminish sexual desire,0,0
393,CENOTAPH,Noun,a monument built to honor people whose remains are interred elsewhere or whose remains cannot be recovered,0,0
394,QUISLING,Noun,someone who collaborates with an enemy occupying force,0,0
395,SATSUMA,Noun,"a variety of mandarin orange, medium-sized largely seedless mandarin orange with thin smooth skin",0,0
396,PHALANX,Noun,"any of the bones of the fingers or toes, any closely ranked crowd of people, a body of troops in close array",0,0
397,PLETHORA,Noun,extreme excess,0,0
398,NACRE,Noun,the iridescent internal layer of a mollusk shell,0,0
399,AUTODIDACT,Noun,a person who has taught himself,0,0
400,CAIRN,Noun,"a mound of stones piled up as a memorial or to mark a boundary or path, small rough-haired breed of terrier from scotland",0,0
401,MENINGIOMA,Noun,a tumor arising in the meninges which surround the brain and spinal cord. usually slow growing and sometimes malignant,0,0
402,GNOMIC,Adjective,relating to or containing gnomes,0,0
403,GABBLE,Noun,rapid and indistinct speech,0,0
404,GABBLE,Verb,speak (about unimportant matters),0,0
405,RIME,Noun,"ice crystals forming a white deposit (especially on objects outside), correspondence in the sounds of two or more lines (especially final sounds)",0,0
406,RIME,Verb,"be similar in sound, especially with respect to the last syllable, compose rhymes",0,0
407,BACCY,Noun,leaves of the tobacco plant dried and prepared for smoking or ingestion,0,0
408,CHEROOT,Noun,a cigar with both ends cut flat,0,0
409,HILLOCK,Noun,a small natural hill,0,0
410,PHYSICALLY,Adverb,in accord with physical laws,0,0
411,CRUMP,Verb,"make a noise typical of an engine lacking lubricants, bombard with heavy shells, explode heavily or with a loud dull noise",0,0
412,PILLOCK,Noun,a person who is not very bright,0,0
413,MATTOCK,Noun,a kind of pick that is used for digging. has a flat blade set at right angles to the handle,0,0
414,POTSHERD,Noun,a shard of pottery,0,0
415,BLUEBOTTLE,Noun,"an annual eurasian plant cultivated in north america having showy heads of blue or purple or pink or white flowers, blowfly with iridescent blue body. makes a loud buzzing noise in flight",0,0
416,VITRIFICATION,Noun,"a vitrified substance. the glassy result of being vitrified, the process of becoming vitreous",0,0
417,BOLLARD,Noun,a strong post (as on a wharf or quay or ship for attaching mooring lines),0,0
418,LUNULA,Noun,"the crescent-shaped area at the base of the human fingernail, a crescent-shaped metal ornament of the bronze age",0,0
419,MASTABA,Noun,an ancient egyptian mud-brick tomb with a rectangular base and sloping sides and flat roof,0,0
420,METEMPSYCHOSIS,Noun,after death the soul begins a new cycle of existence in another human body,0,0
421,PELLUCID,Adjective,"transmitting light. able to be seen through with clarity, (of language)",0,0
422,SCAPULAR,Noun,"a feather covering the shoulder of a bird, garment consisting of a long wide piece of woolen cloth worn over the shoulders with an opening for the head. part of a monastic habit",0,0
423,SCAPULAR,Adjective,relating to or near the shoulder blade,0,0
424,CHADOR,Noun,a cloth used as a head covering (and veil and shawl),0,0
425,ESCHATOLOGY,Noun,the branch of theology that is concerned with such final things as death and last judgment. heaven and hell. the ultimate destiny of humankind,0,0
426,INFARCT,Noun,localized necrosis resulting from obstruction of the blood supply,0,0
427,TUMBREL,Noun,a farm dumpcart for carrying dung. carts of this type were used to carry prisoners to the guillotine during the french revolution,0,0
428,CATAMOUNT,Noun,"short-tailed wildcats with usually tufted ears. valued for their fur, large american feline resembling a lion",0,0
429,ABEAM,Adverb,at right angles to the length of a ship or airplane,0,0
430,SCUMBLE,Noun,the application of very thin coat of color over the surface of a picture,0,0
431,PANATELA,Noun,a long slender cigar,0,0
432,FLEER,Noun,"someone who flees from an uncongenial situation, contempt expressed by mockery in looks or words",0,0
433,FLEER,Verb,to smirk contemptuously,0,0
434,HAWSER,Noun,large heavy rope for nautical use,0,0
435,CUMBROUS,Adjective,difficult to handle or use especially because of size or weight,0,0
436,BEVY,Noun,"a large gathering of people of a particular type, a flock of birds (especially when gathered close together on the ground)",0,0
437,MAZY,Adjective,resembling a labyrinth in form or complexity,0,0
438,GURKHA,Noun,"a member of the nepalese force that has been part of the british army for 200 years. known for fierceness in combat, a member of hindu people descended from brahmins and rajputs who live in nepal",0,0
439,ANTIMACASSAR,Noun,a piece of ornamented cloth that protects the back of a chair from hair oils,0,0
440,SPALL,Noun,a fragment broken off from the edge or face of stone or ore and having at least one thin edge,0,0
441,VITUPERATION,Noun,abusive or venomous language used to express blame or censure or bitter deep-seated ill will,0,0
442,CINCTURE,Noun,a band of material around the waist that strengthens a skirt or trousers,0,0
443,GUIMPE,Noun,"a piece of starched cloth covering the shoulders of a nuns habit"", a short blouse with sleeves that is worn under a jumper or pinafore dress",0,0
444,DOXY,Noun,a woman who cohabits with an important man,0,0
445,SAURIAN,Noun,any of various reptiles of the suborder sauria which includes lizards. in former classifications included also the crocodiles and dinosaurs,0,0
446,SAURIAN,Adjective,of or relating to lizards,0,0
447,HALYARD,Noun,a rope for raising or lowering a sail or flag,0,0
448,COSSET,Verb,treat with excessive indulgence,0,0
449,CHARY,Adjective,characterized by great caution and wariness,0,0
450,PERORATION,Noun,a flowery and highly rhetorical oration,0,0
451,ASPERITY,Noun,"something hard to endure, harshness of manner",0,0
452,ELISION,Noun,"omission of a sound between two words (usually a vowel and the end of one word or the beginning of the next, a deliberate act of omission)",0,0
453,IRREDENTISM,Noun,the doctrine that irredenta should be controlled by the country to which they are ethnically or historically related,0,0
454,FUNICULAR,Noun,a railway up the side of a mountain pulled by a moving cable and having counterbalancing ascending and descending cars,0,0
455,FUNICULAR,Adjective,relating to or operated by a cable,0,0
456,MAIDENHEAD,Noun,a fold of tissue that partly covers the entrance to the vagina of a virgin,0,0
457,LORRY,Noun,"a large low horse-drawn wagon without sides, a large truck designed to carry heavy loads. usually without sides",0,0
458,LEGERDEMAIN,Noun,an illusory feat. considered magical by naive observers,0,0
459,PORTICO,Noun,a porch or entrance to a building consisting of a covered and often columned area,1,1
460,SCHADENFREUDE,Noun,delight in another persons misfortune,0,0
461,UXORIOUSNESS,Noun,foolish fondness for or excessive submissiveness to ones wife,0,0
462,LEONINE,Adjective,of or characteristic of or resembling a lion,0,0
463,FIASCO,Noun,a sudden and violent collapse,0,0
464,DEWLAP,Noun,a hanging fold of loose skin on an elderly persons neck,0,0
465,SHIBBOLETH,Noun,"a favorite saying of a sect or political group, a manner of speaking that is distinctive of a particular group of people",0,0
466,MANDE,Noun,a group of african languages in the niger-congo group spoken from senegal east as far as the ivory coast,0,0
467,SAPPER,Noun,a military engineer who does digging trenches or undermining fortifications,0,0
468,CONSCRIPT,Noun,someone who is drafted into military service,0,0
469,CONSCRIPT,Verb,enroll into service compulsorily,0,0
470,ROUSSEAU,Noun,"french philosopher and writer born in switzerland. believed that the natural goodness of man was warped by society. ideas influenced the french revolution (1712-1778), french primitive painter (1844-1910)",0,0
471,COUNTERMAND,Noun,a contrary command cancelling or reversing a previous command,0,0
472,COUNTERMAND,Verb,cancel officially,0,0
473,DESUETUDE,Noun,a state of inactivity or disuse,0,0
474,GEODESIC,Noun,"(mathematics), as a straight line on a plane or an arc of a great circle on a sphere",0,0
475,GEODESIC,Adjective,of or relating to or determined by geodesy,0,0
476,HOSANNA,Noun,a cry of praise or adoration (to god),0,0
477,TROUSSEAU,Noun,the personal outfit of a bride. clothes and accessories and linens,0,0
478,ESPLANADE,Noun,a long stretch of open level ground (paved or grassy),0,0
479,JUGGERNAUT,Noun,"a massive inexorable force that seems to crush everything in its way, an avatar of vishnu, a crude idol of krishna",0,0
480,CHOLLA,Noun,arborescent cacti having very spiny cylindrical stem segments. southwestern united states and mexico,0,0
481,ENORMITY,Noun,"the quality of being outrageous, vastness of size or extent, the quality of extreme wickedness, an act of extreme wickedness",0,0
482,SPORE,Noun,a small usually single-celled asexual reproductive body produced by many nonflowering plants and fungi and some bacteria and protozoans and that are capable of developing into a new individual without sexual fusion,0,0
483,LITTORAL,Noun,the region of the shore of a lake or sea or ocean,0,0
484,LITTORAL,Adjective,of or relating to a coastal or shore region,0,0
485,MOLL,Noun,the girlfriend of a gangster,0,0
486,VELLEITY,Noun,"a mere wish, unaccompanied by effort to obtain, volition in its weakest form",0,0
487,DEBOUCH,Verb,"march out (as from a defile, pass out or emerge. especially of rivers)",0,0
488,PROSCENIUM,Noun,"the part of a modern theater stage between the curtain and the orchestra (i.e., in front of the curtain, the wall that separates the stage from the auditorium in a modern theater",0,0
489,NONCE,Noun,the present occasion,0,0
490,MURMUROUS,Adjective,characterized by soft sounds,0,0
491,ROUNDEL,Noun,"english form of rondeau having three triplets with a refrain after the first and third, round piece of armor plate that protects the armpit, (heraldry",2,2
492,ASTRAKHAN,Noun,"the fur of young lambs, a city in southwestern russia on the delta of the volga river",0,0
493,PHONATE,Verb,utter speech sounds,0,0
494,ALARUM,Noun,an automatic signal (usually a sound),0,0
495,DEMOTIC,Noun,"a simplified cursive form of the ancient hieratic script, the modern greek vernacular",0,0
496,DEMOTIC,Adjective,"of or written in or belonging to the form of modern greek based on colloquial use, of or for the common people",0,0
497,TRANSVAAL,Noun,a province of northeastern south africa originally inhabited by africans who spoke bantu. colonized by the boers,0,0
498,GLAUCOUS,Adjective,"having a frosted look from a powdery coating, as on plants",0,0
499,DISCOID,Adjective,having a flat circular shape,0,0
500,MADDER,Noun,eurasian herb having small yellow flowers and red roots formerly an important source of the dye alizarin,0,0
501,MADDER,Verb,color a moderate to strong red,0,0
502,SIDLE,Verb,"move unobtrusively or furtively, move sideways",0,0
503,PERDURABLE,Adjective,very long lasting,0,0
504,BOURN,Noun,"an archaic term for a boundary, an archaic term for a goal or destination",0,0
505,BAIZE,Noun,a bright green fabric napped to resemble felt. used to cover gaming tables,0,0
506,GULAG,Noun,a russian prison camp for political prisoners,0,0
507,ABUTILON,Noun,herbs or shrubs or small trees: flowering maple. indian mallow,0,0
508,FEY,Adjective,"slightly insane, suggestive of an elf in strangeness and otherworldliness",0,0
509,TRITON,Noun,"(greek mythology, the largest moon of neptune, tropical marine gastropods having beautifully colored spiral shells, small usually bright-colored semiaquatic salamanders of north america and europe and northern asia",0,0
510,PERSPEX,Noun,a transparent thermoplastic acrylic resin,0,0
511,CHICANE,Noun,"a bridge hand that is void of trumps, a movable barrier used in motor racing. sometimes placed before a dangerous corner to reduce speed as cars pass in single file, the use of tricks to deceive someone (usually to extract money from them",0,0
512,CHICANE,Verb,"defeat someone through trickery or deceit, raise trivial objections",0,0
513,OSTINATO,Noun,a musical phrase repeated over and over during a composition,0,0
514,ARGOSY,Noun,one or more large merchant ships,0,0
515,HOMBURG,Noun,a hat made of felt with a creased crown,0,0
516,NUDNIK,Noun,(yiddish) a person who is a bore or nuisance,0,0
517,PIQUET,Noun,"a card game for two players using a reduced pack of 32 cards, a form of military punishment used by the british in the late 17th century in which a soldier was forced to stand on one foot on a pointed stake",0,0
518,REMUDA,Noun,the herd of horses from which those to be used the next day are chosen,0,0
519,CELESTA,Noun,a musical instrument consisting of graduated steel plates that are struck by hammers activated by a keyboard,0,0
520,UNUSUALLY,Adverb,to a remarkable degree or extent,0,0
521,SUBAQUEOUS,Adjective,growing or remaining under water,0,0
522,REVENANT,Noun,"a person who returns after a lengthy absence, someone who has returned from the dead",0,0
523,ESCUTCHEON,Noun,"a shield or emblem bearing a coat of arms. 
a flat piece of metal for protection and often ornamentation, around a keyhole, door handle, or light switch.",0,0
524,DEFENESTRATION,Noun,the act of throwing someone or something out of a window,0,0
525,PUNCTILIO,Noun,"a fine point of etiquette or petty formality, strict observance of formalities",0,0
526,RUBICUND,Adjective,inclined to a healthy reddish color often associated with outdoor life,0,0
527,PARTURIENT,Adjective,"of or relating to or giving birth, giving birth",0,0
528,ESCHATOLOGICAL,Adjective,of or relating to or dealing with or regarding the ultimate destiny of mankind and the world,0,0
529,VIDELICET,Adverb,as follows,0,0
530,PROSPECTIVE,Adjective,of or concerned with or related to the future,0,0
531,ADIABATIC,Adjective,occurring without loss or gain of heat,0,0
532,DEROGATION,Noun,a communication that belittles somebody or something,0,0
533,ALLOCUTION,Noun,a formal speech giving advice or a warning.,0,0
534,CONCUPISCENCE,Noun,a desire for sexual intimacy,0,0
535,SUSPIRATION,Noun,an utterance made by exhaling audibly,0,0
536,STOLID,Adjective,having or revealing little emotion or sensibility. not easily aroused or excited,0,0
537,BOLO,Noun,"a cord fastened around the neck with an ornamental clasp and worn as a necktie, long heavy knife with a single edge. of philippine origin",0,0
538,LENTICULAR,Adjective,convex on both sides like a flying saucer,0,0
539,EPIGRAPH,Noun,"a quotation at the beginning of some piece of writing, an engraved inscription",0,0
540,EXECRABLE,Adjective,"of very poor quality or condition, unequivocally detestable, deserving a curse",0,0
541,SOUGH,Verb,make a murmuring sound,0,0
542,VERTIGINOUS,Adjective,having or causing a whirling sensation. liable to falling,0,0
543,HOVE,Verb,"utter a sound, as with obvious effort, throw with great effort, rise and move, as in waves or billows, lift or elevate, move or cause to move in a specified way, direction, or position, breathe noisily, as when one is exhausted, bend out of shape, as under pressure or from heat, make an unsuccessful effort to vomit. strain to vomit",0,0
544,MISTRAL,Noun,a strong north wind that blows in france during the winter,0,0
545,CHARNEL,Noun,a vault or building where corpses or bones are deposited,0,0
546,CHARNEL,Adjective,gruesomely indicative of death or the dead,0,0
547,TENEBROUS,Adjective,dark and gloomy,0,0
548,BEMUSE,Verb,cause to be confused emotionally,0,0
549,BABBITT,Noun,"a self-satisfied person who conforms readily to conventional, middle-class ideas and ideals, especially of business and material success. philistine: from the main character in the novel by sinclair lewis.",0,0
550,BLEAR,Verb,make dim or indistinct,0,0
551,BLEAR,Adjective,tired to the point of exhaustion,0,0
552,QUIDDITY,Noun,"an evasion of the point of an argument by raising irrelevant distinctions or objections, the essence that makes something the kind of thing it is and makes it different from any other",0,0
553,MAENAD,Noun,"an unnaturally frenzied or distraught woman, (greek mythology)",0,0
554,IRRAWADDY,Noun,the main river of myanmar rising in the north and flowing south through the length of burma to empty into the andaman sea,0,0
555,RATHSKELLER,Noun,a tavern below street level featuring beer. originally a german restaurant in the basement of city hall,0,0
556,AGUE,Noun,"a fit of shivering or shaking, successive stages of chills and fever that is a symptom of malaria, a mark placed above a vowel to indicate pronunciation",1,1
557,CONFABULATE,Verb,"unconsciously replace fact with fantasy in ones memory"", talk socially without exchanging too much information, have a conference in order to talk something over",0,0
558,JELLABA,Noun,a loose cloak with a hood. worn in the middle east and northern africa,0,0
559,PIASTER,Noun,"a fractional monetary unit in egypt and lebanon and sudan and syria, 100 kurus equal 1 lira in turkey",0,0
560,ROSICRUCIAN,Noun,"a member of any of various organizations that subsequently derived from the 17th-century society, a member of a secret 17th-century society of philosophers and scholars versed in mystical and metaphysical and alchemical lore",1,1
561,YARDBIRD,Noun,"a military recruit who is assigned menial tasks, a person serving a sentence in a jail or prison",0,0
562,CREOSOTE,Noun,"a colorless or yellowish oily liquid obtained by distillation of wood tar. used as an antiseptic, a dark oily liquid obtained by distillation of coal tar. used as a preservative for wood",0,0
563,CHAPARRAL,Noun,dense vegetation consisting of stunted trees or bushes,0,0
564,PACHUCO,Noun,a mexican-american teenager who belongs to a neighborhood gang and who dresses in showy clothes,0,0
565,BACCHANT,Noun,"someone who engages in drinking bouts, a drunken reveller. a devotee of bacchus, (classical mythology",0,0
566,CACIQUE,Noun,black-and-red or black-and-yellow orioles of the american tropics,0,0
567,BRACERO,Noun,a mexican laborer who worked in the united states on farms and railroads in order to ease labor shortages during world war ii,1,1
568,JOSS,Noun,a chinese god worshipped in the form of an idol,1,0
569,SOUTANE,Noun,a long cassock with buttons down the front. worn by roman catholic priests,0,0
570,BELAY,Noun,something to which a mountain climbers rope can be secured,0,0
571,BELAY,Verb,"turn a rope round an object or person in order to secure it or him, fasten a boat to a bitt, pin, or cleat",0,0
572,FINALIST,Noun,a contestant who reaches the final stages of a competition,0,0
573,MILLINERY,Noun,"shop selling womens hats"", hats for women. the wares sold by a milliner",0,0
574,RELIQUARY,Noun,a container where religious relics are stored or displayed (especially relics of saints,0,0
575,EXPIATE,Verb,make amends for,0,0
576,CORVETTE,Noun,a highly maneuverable escort warship. smaller than a destroyer,0,0
577,BOWLINE,Noun,a loop knot that neither slips nor jams,0,0
578,CLAQUE,Noun,a group of followers hired to applaud at a performance,0,0
579,SPLICE,Noun,"a junction where two things (as paper or film or magnetic tape, joint made by overlapping two ends and joining them together",0,0
580,SPLICE,Verb,"join the ends of, perform a marriage ceremony, join together so as to form new genetic combinations, join by interweaving strands",0,0
581,CHANCEL,Noun,area around the altar of a church for the clergy and choir. often enclosed by a lattice or railing,0,0
582,INELUCTABLE,Adjective,impossible to avoid or evade,0,0
583,STYLITE,Noun,an early christian ascetic who lived on top of high pillars,0,0
584,PROPRIOCEPTION,Noun,the ability to sense the position and location and orientation and movement of the body and its parts,0,0
585,CONVERSATION,Noun,the use of speech for informal exchange of views or ideas or information etc.,0,0
586,PHILOSOPHER,Noun,"a specialist in philosophy, a wise person who is calm and rational. someone who lives a life of reason with equanimity",0,0
587,RETICULE,Noun,"a womans drawstring handbag. usually made of net or beading or brocade. used in 18th and 19th centuries"", a network of fine lines, dots, cross hairs, or wires in the focal plane of the eyepiece of an optical instrument",0,0
588,OMNIBUS,Noun,"an anthology of articles on a related subject or an anthology of the works of a single author, a vehicle carrying many passengers. used for public transport",0,0
589,OMNIBUS,Adjective,providing for many things at once,0,0
590,PROGNATHIC,Adjective,having a projecting lower jaw,0,0
591,FROWZY,Adjective,negligent of neatness especially in dress and person. habitually dirty and unkempt,1,1
592,BAULK,Noun,"the area on a billiard table behind the balkline, something immaterial that interferes with or delays action or progress, one of several parallel sloping beams that support a roof",0,0
593,BAULK,Verb,refuse to comply,0,0
594,SCANSION,Noun,analysis of verse into metrical patterns,0,0
595,OMENTUM,Noun,a fold of peritoneum supporting the viscera,0,0
596,THRENODY,Noun,a song or hymn of mourning composed or performed as a memorial to a dead person,0,0
597,PERINEUM,Noun,the general region between the anus and the genital organs,0,0
598,POLITY,Noun,"the form of government of a social organization, a politically organized unit, shrewd or crafty management of public affairs",0,0
599,PROBITY,Noun,complete and confirmed integrity. having strong moral principles,0,0
600,BARDIC,Adjective,being a bard or relating to a bards poetry,0,0
601,CAUL,Noun,"part of the peritoneum attached to the stomach and to the colon and covering the intestines, the inner membrane of embryos in higher vertebrates (especially when covering the head at birth",0,0
602,PURULENT,Adjective,containing pus,0,0
603,GRAVID,Adjective,in an advanced stage of pregnancy,0,0
604,RAPINE,Noun,the act of despoiling a country in warfare,0,0
605,PALL,Noun,"a sudden numbing dread, burial garment in which a corpse is wrapped, hanging cloth used as a blind (especially for a window",0,0
606,ARCHITRAVE,Noun,"the molding around a door or window, the lowest part of an entablature. rests immediately on the capitals of the columns",0,0
607,DEPREDATION,Noun,"an act of plundering and pillaging and marauding, (usually plural",0,0
608,LABILE,Adjective,"(chemistry, physics, biology, liable to change",0,0
609,PO-FACED,Adjective,humorless and disapproving,0,0
610,GUIANA,Noun,a geographical region of northeastern south america including guyana and surinam,0,0
611,CALICHE,Noun,"crust or layer of hard subsoil encrusted with calcium-carbonate occurring in arid or semiarid regions, nitrate-bearing rock or gravel of the sodium nitrate deposits of chile and peru",0,0
612,ADMIXTURE,Noun,"the state of impairing the quality or reducing the value of something, an additional ingredient that is added by mixing with the base, the act of mixing together",0,0
613,QUADROON,Noun,an offspring of a mulatto and a white parent. a person who is one-quarter black,0,0
614,MYRMIDON,Noun,"a follower who carries out orders without question, (greek mythology)",0,0
615,PROGENITOR,Noun,an ancestor in the direct line,0,0
616,PANEGYRIC,Noun,a formal expression of praise,0,0
617,PANEGYRIC,Adjective,formally expressing praise,0,0
618,USUFRUCT,Noun,a legal right to use and derive profit from property belonging to someone else provided that the property itself is not injured in any way,0,0
619,PELLAGRA,Noun,a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin),0,0
620,CONCUPISCENT,Adjective,vigorously passionate,0,0
621,MENDICANT,Noun,"a male member of a religious order that originally relied solely on alms, a pauper who lives by begging",0,0
622,MENDICANT,Adjective,practicing beggary,0,0
623,SQUIFFY,Adjective,very drunk,0,0
624,PROPITIATION,Noun,"the act of placating and overcoming distrust and animosity, the act of atoning for sin or wrongdoing (especially appeasing a deity)",1,1
625,EXECRATION,Noun,"hate coupled with disgust, an appeal to some supernatural power to inflict evil on someone or some group, the object of cursing or detestation. that which is execrated",0,0
626,COL,Noun,a pass between mountain peaks,0,0
627,NUGATORY,Adjective,of no real value,0,0
628,SUSURRATE,Verb,issue soft noises,0,0
629,INVIGILATOR,Noun,someone who watches examination candidates to prevent cheating,0,0
630,TRANSEPT,Noun,structure forming the transverse part of a cruciform church. crosses the nave at right angles,0,0
631,CADASTRE,Noun,a public register showing the details of ownership and value of land. made for the purpose of taxation,0,0
632,CHIAROSCURO,Noun,a monochrome picture made by using several different shades of the same color,0,0
633,LUBRICIOUS,Adjective,"having a smooth or slippery quality, characterized by lust",0,0
634,HIN,Noun,ancient hebrew unit of liquid measure = 1.5 gallons,0,0
635,PROCEED,Verb,"continue talking, move ahead. travel onward in time or space, follow a procedure or take a course, follow a certain course, continue a certain state, condition, or activity",0,0
636,LOACH,Noun,slender freshwater fishes of eurasia and africa resembling catfishes,0,0
637,HAGIOGRAPHY,Noun,a biography that idealizes or idolizes the person (especially a person who is a saint),0,0
638,MANCUNIAN,Noun,a native or resident of manchester,0,0
639,MANCUNIAN,Adjective,of or relating to or characteristic of the english city of manchester or its residents,0,0
640,IGNORANCE,Noun,the lack of knowledge or education,0,0
641,FAIENCE,Noun,glazed earthenware decorated with opaque colors,0,0
642,OROTUND,Adjective,"ostentatiously lofty in style, (of sounds)
",0,0
643,EXPIATION,Noun,"compensation for a wrong, the act of atoning for sin or wrongdoing (especially appeasing a deity)",0,0
644,POLLARD,Noun,"a tree with limbs cut back to promote a more bushy growth of foliage, a usually horned animal that has either shed its horns or had them removed",0,0
645,TRIMARAN,Noun,a fast sailboat with 3 parallel hulls,0,0
646,INVEIGLE,Verb,"influence or urge by gentle urging, caressing, or flattering",0,0
647,PELAGIC,Adjective,relating to or occurring or living in or frequenting the open ocean,0,0
648,MENHADEN,Noun,shad-like north american marine fishes used for fish meal and oil and fertilizer,0,0
649,BLATHERSKITE,Noun,foolish gibberish,0,0
650,GUNWALE,Noun,wale at the top of the side of boat. topmost planking of a wooden vessel,0,0
651,PULQUE,Noun,fermented mexican drink from juice of various agave plants especially the maguey,0,0
652,CRUPPER,Noun,a strap from the back of a saddle passing under the horses tail. prevents saddle from slipping forward,0,0
